round,event,ack,cwnd,ssthresh
1,slow_start,1,2.0,16.0
2,window_update,1,2.0,16.0
3,slow_start,2,3.0,16.0
4,slow_start,3,4.0,16.0
5,duplicate_ack,3,4.0,16.0
6,window_update,3,4.0,16.0
7,window_update,3,4.0,16.0
8,duplicate_ack,3,4.0,16.0
9,timeout_slow_start,3,1.0,2.0
10,slow_start,5,2.0,2.0
11,window_update,5,2.0,2.0
12,congestion_avoidance,6,2.5,2.0
13,duplicate_ack,6,2.5,2.0
14,window_update,6,2.5,2.0
15,window_update,6,2.5,2.0
16,duplicate_ack,6,2.5,2.0
17,timeout_slow_start,6,1.0,1.25
18,slow_start,8,2.0,1.25
19,window_update,8,2.0,1.25
20,congestion_avoidance,9,2.5,1.25
21,duplicate_ack,9,2.5,1.25
22,window_update,9,2.5,1.25
23,window_update,9,2.5,1.25
24,duplicate_ack,9,2.5,1.25
25,timeout_slow_start,9,1.0,1.25
26,slow_start,11,2.0,1.25
27,window_update,11,2.0,1.25
28,congestion_avoidance,12,2.5,1.25
29,duplicate_ack,12,2.5,1.25
30,window_update,12,2.5,1.25
31,window_update,12,2.5,1.25
32,duplicate_ack,12,2.5,1.25
33,timeout_slow_start,12,1.0,1.25
34,slow_start,14,2.0,1.25
35,window_update,14,2.0,1.25
36,congestion_avoidance,15,2.5,1.25
37,duplicate_ack,15,2.5,1.25
38,window_update,15,2.5,1.25
39,window_update,15,2.5,1.25
40,duplicate_ack,15,2.5,1.25
41,timeout_slow_start,15,1.0,1.25
42,slow_start,17,2.0,1.25
43,window_update,17,2.0,1.25
44,congestion_avoidance,18,2.5,1.25
45,duplicate_ack,18,2.5,1.25
46,window_update,18,2.5,1.25
47,window_update,18,2.5,1.25
48,duplicate_ack,18,2.5,1.25
49,timeout_slow_start,18,1.0,1.25
50,slow_start,20,2.0,1.25
51,window_update,20,2.0,1.25
52,congestion_avoidance,21,2.5,1.25
53,duplicate_ack,21,2.5,1.25
54,window_update,21,2.5,1.25
55,window_update,21,2.5,1.25
56,duplicate_ack,21,2.5,1.25
57,timeout_slow_start,21,1.0,1.25
58,slow_start,23,2.0,1.25
59,window_update,23,2.0,1.25
60,congestion_avoidance,24,2.5,1.25
61,duplicate_ack,24,2.5,1.25
62,window_update,24,2.5,1.25
63,window_update,24,2.5,1.25
64,duplicate_ack,24,2.5,1.25
65,timeout_slow_start,24,1.0,1.25
66,slow_start,26,2.0,1.25
67,window_update,26,2.0,1.25
68,congestion_avoidance,27,2.5,1.25
69,duplicate_ack,27,2.5,1.25
70,window_update,27,2.5,1.25
71,window_update,27,2.5,1.25
72,duplicate_ack,27,2.5,1.25
73,timeout_slow_start,27,1.0,1.25
74,slow_start,29,2.0,1.25
75,window_update,29,2.0,1.25
76,congestion_avoidance,30,2.5,1.25
77,duplicate_ack,30,2.5,1.25
78,window_update,30,2.5,1.25
79,window_update,30,2.5,1.25
80,duplicate_ack,30,2.5,1.25
81,timeout_slow_start,30,1.0,1.25
82,slow_start,32,2.0,1.25
83,window_update,32,2.0,1.25
84,congestion_avoidance,33,2.5,1.25
85,duplicate_ack,33,2.5,1.25
86,window_update,33,2.5,1.25
87,window_update,33,2.5,1.25
88,duplicate_ack,33,2.5,1.25
89,timeout_slow_start,33,1.0,1.25
90,slow_start,35,2.0,1.25
91,window_update,35,2.0,1.25
92,congestion_avoidance,36,2.5,1.25
93,duplicate_ack,36,2.5,1.25
94,window_update,36,2.5,1.25
95,window_update,36,2.5,1.25
96,duplicate_ack,36,2.5,1.25
97,timeout_slow_start,36,1.0,1.25
98,slow_start,38,2.0,1.25
99,window_update,38,2.0,1.25
100,congestion_avoidance,39,2.5,1.25
101,duplicate_ack,39,2.5,1.25
102,window_update,39,2.5,1.25
103,window_update,39,2.5,1.25
104,duplicate_ack,39,2.5,1.25
105,timeout_slow_start,39,1.0,1.25
106,slow_start,41,2.0,1.25
107,window_update,41,2.0,1.25
108,congestion_avoidance,42,2.5,1.25
109,duplicate_ack,42,2.5,1.25
110,window_update,42,2.5,1.25
111,window_update,42,2.5,1.25
112,duplicate_ack,42,2.5,1.25
113,timeout_slow_start,42,1.0,1.25
114,slow_start,44,2.0,1.25
115,window_update,44,2.0,1.25
116,congestion_avoidance,45,2.5,1.25
117,duplicate_ack,45,2.5,1.25
118,window_update,45,2.5,1.25
119,window_update,45,2.5,1.25
120,duplicate_ack,45,2.5,1.25
121,timeout_slow_start,45,1.0,1.25
122,slow_start,47,2.0,1.25
123,window_update,47,2.0,1.25
124,congestion_avoidance,48,2.5,1.25
125,duplicate_ack,48,2.5,1.25
126,window_update,48,2.5,1.25
127,window_update,48,2.5,1.25
128,duplicate_ack,48,2.5,1.25
129,timeout_slow_start,48,1.0,1.25
130,slow_start,50,2.0,1.25
